id,county,pop100,intptlat,intptlon
385,001,6,36.9122242,-109.1084544
393,001,11,36.9821348,-109.3573159
403,001,4,36.9967332,-109.5451848
406,001,12,36.9661333,-109.5522798
415,001,12,36.94125,-109.5575276
417,001,28,36.934168,-109.5991262
419,001,3,36.9523092,-109.6110939
421,001,18,36.9820622,-109.6676199
422,001,6,36.9538996,-109.6818504
424,001,10,36.9061369,-109.5719528
426,001,1,36.9403669,-109.5277584
427,001,31,36.9371417,-109.4998883
435,001,9,36.9159615,-109.5196452
437,001,21,36.9233549,-109.4672436
438,001,7,36.9548737,-109.4717429
440,001,9,36.9513613,-109.4434241
450,001,2,36.8812506,-109.6237727
451,001,21,36.9033022,-109.6444966
452,001,4,36.928261,-109.6451956
457,001,3,36.9455029,-109.6591066
459,001,3,36.9286552,-109.6708507
460,001,10,36.9029589,-109.715084
463,001,12,36.9334827,-109.7169467
466,001,6,36.8626942,-109.6075307
469,001,8,36.8976653,-109.6807645
475,001,6,36.8479834,-109.7095035
476,001,18,36.8165943,-109.6903764
477,001,6,36.82668,-109.7004236
478,001,17,36.8219296,-109.681089
480,001,7,36.8311639,-109.6817039
481,001,7,36.8413103,-109.6948461
482,001,6,36.9391995,-109.4419926
483,001,12,36.79386,-109.6609077
484,001,12,36.831854,-109.6211715
486,001,5,36.8525387,-109.5463146
487,001,55,36.770474,-109.6117546
488,001,4,36.7636553,-109.5852567
489,001,3,36.754426,-109.6343472
490,001,9,36.7582541,-109.6439964
491,001,9,36.7766211,-109.6329534
493,001,27,36.8061369,-109.5927899
495,001,47,36.7862446,-109.631045
496,001,9,36.7960195,-109.6086293
499,001,23,36.7395833,-109.6160551
500,001,30,36.7390848,-109.6287593
501,001,17,36.7369687,-109.6429549
502,001,2,36.7487689,-109.650581
503,001,8,36.7640518,-109.5597583
505,001,45,36.7310556,-109.6534689
507,001,8,36.753494,-109.5437609
508,001,5,36.7755683,-109.5167736
510,001,4,36.7617436,-109.5019375
512,001,11,36.7600981,-109.5166946
514,001,14,36.756648,-109.4864337
515,001,12,36.7488757,-109.4924643
516,001,17,36.7177716,-109.5407746
518,001,1,36.7332156,-109.5162577
522,001,9,36.7242547,-109.6053439
523,001,44,36.7222065,-109.6197006
524,001,27,36.726246,-109.631344
525,001,10,36.7232505,-109.6327008
527,001,16,36.6704022,-109.5144967
532,001,6,36.695179,-109.405889
535,001,9,36.738248,-109.4406525
537,001,52,36.6968483,-109.619491
538,001,14,36.6997297,-109.6199923
539,001,13,36.7154076,-109.6242728
543,001,65,36.6962732,-109.6056364
544,001,66,36.7110056,-109.6128328
545,001,44,36.7172439,-109.6226689
546,001,24,36.7153881,-109.6217558
547,001,9,36.7171301,-109.6194952
548,001,14,36.6778041,-109.6320939
549,001,2,36.6402805,-109.6583889
550,001,19,36.6551811,-109.4633187
553,001,7,36.6686716,-109.5996136
554,001,24,36.6821869,-109.5837749
555,001,22,36.6399824,-109.5589869
556,001,1,36.6712664,-109.5629995
558,001,5,36.6585393,-109.553374
559,001,1,36.6668684,-109.5890536
560,001,4,36.6558625,-109.5919893
562,001,10,36.6459027,-109.5863172
563,001,25,36.5977721,-109.6238932
566,001,4,36.6481603,-109.5952018
568,001,15,36.6325133,-109.5915659
572,001,13,36.5741398,-109.5964387
573,001,5,36.5836439,-109.584008
574,001,1,36.5949742,-109.5779098
575,001,9,36.6011403,-109.5874362
576,001,5,36.6235286,-109.5753745
577,001,14,36.6358709,-109.584739
578,001,7,36.6348152,-109.5843462
580,001,5,36.6119574,-109.6842938
586,001,1,36.6131828,-109.662261
596,001,2,36.5545803,-109.6900162
597,001,1,36.5661624,-109.68632
603,001,7,36.5271086,-109.7074732
605,001,3,36.5406294,-109.7479223
607,001,18,36.526945,-109.7794111
609,001,13,36.5290714,-109.7886362
610,001,18,36.5146601,-109.7882171
611,001,6,36.5039692,-109.7891651
612,001,2,36.5113191,-109.7628969
613,001,4,36.5040552,-109.8084137
617,001,2,36.5030054,-109.7351672
621,001,2,36.4846861,-109.7742372
622,001,1,36.4788885,-109.7890008
623,001,2,36.4752151,-109.7379009
624,001,8,36.4781703,-109.6975074
625,001,5,36.4876499,-109.661142
628,001,4,36.4681695,-109.6896704
630,001,1,36.4756255,-109.7634376
633,001,5,36.6458047,-109.5397945
637,001,14,36.4770384,-109.8624007
644,001,1,36.6803973,-109.4601065
646,001,1,36.633962,-109.4755998
648,001,11,36.9061483,-109.545414
649,001,6,36.8342295,-109.7127208
650,001,4,36.9647658,-109.6014168
652,001,2,36.9468186,-109.5862734
653,001,16,36.9734453,-109.3919489
654,001,2,36.9891417,-109.3690182
655,001,92,36.9711109,-109.3698195
656,001,29,36.961822,-109.3839134
657,001,4,36.9623494,-109.3838259
658,001,4,36.9723615,-109.3482628
661,001,2,36.966519,-109.3162462
662,001,2,36.963094,-109.3120985
665,001,7,36.973347,-109.327231
666,001,10,36.9649153,-109.3346912
667,001,62,36.9625264,-109.3461311
668,001,26,36.9636849,-109.3445681
670,001,9,36.7171382,-109.6222607
671,001,21,36.7549762,-109.6403901
672,001,4,36.7526391,-109.6394126
678,001,4,36.9566271,-109.3401099
679,001,69,36.9571192,-109.3570069
680,001,7,36.9584344,-109.3872805
681,001,2,36.9599726,-109.4241673
683,001,3,36.9506792,-109.3555259
684,001,5,36.9504671,-109.3411795
685,001,2,36.9459955,-109.3179351
686,001,8,36.9522622,-109.3789591
687,001,5,36.9248246,-109.4048701
690,001,8,36.9437551,-109.3653244
692,001,6,36.9271476,-109.3525985
693,001,12,36.9407204,-109.332258
694,001,5,36.9369858,-109.3560533
696,001,15,36.9083873,-109.3471439
697,001,78,36.8690152,-109.4336367
703,001,8,36.8630051,-109.417912
705,001,13,36.8500235,-109.4741585
706,001,35,36.8519392,-109.4999652
708,001,3,36.8651283,-109.5013489
709,001,12,36.8781334,-109.4725604
711,001,7,36.8348683,-109.4811179
712,001,2,36.8383537,-109.4868888
713,001,15,36.8389545,-109.4937956
714,001,11,36.8263366,-109.52777210000001
715,001,9,36.8556038,-109.5250343
716,001,4,36.8528018,-109.5311216
720,001,12,36.7847672,-109.4853604
724,001,7,36.8260537,-109.4854447
725,001,2,36.8348972,-109.4876493
726,001,5,36.8335482,-109.4895716
727,001,8,36.8196482,-109.5032039
728,001,28,36.8235734,-109.4260988
729,001,7,36.7995674,-109.4164316
731,001,7,36.8513139,-109.4605955
732,001,22,36.8604672,-109.3962205
733,001,12,36.8704948,-109.3659893
734,001,23,36.8729336,-109.3396618
735,001,8,36.894306,-109.3546887
736,001,12,36.872285,-109.3547662
737,001,7,36.8977347,-109.321468
738,001,3,36.876064,-109.3000644
739,001,44,36.7822123,-109.2874232
741,001,4,36.8088308,-109.284256
742,001,8,36.8032951,-109.3022837
743,001,3,36.855792,-109.3003957
745,001,4,36.8626195,-109.3054982
746,001,13,36.7687868,-109.3837917
748,001,2,36.8132779,-109.2825798
749,001,5,36.8256482,-109.3511274
750,001,17,36.8041057,-109.3145474
751,001,4,36.8148674,-109.3379251
752,001,17,36.8313414,-109.3115701
753,001,5,36.820951,-109.3676331
754,001,11,36.8294538,-109.3661207
