tract,county,pop,lat,long
003103,051,6683,-78.9847113288672,34.96273637933514
003103,067,5934,-80.07838153312426,36.18224595746552
003105,021,4609,-82.29524867619016,35.62030082358959
003105,051,4650,-78.96854650506873,34.94522603011177
003105,067,3914,-80.14036099509558,36.19382474614504
003105,119,3733,-80.85809157076663,35.13227211000183
003106,021,1696,-82.31245528820477,35.685815923720035
003106,051,2102,-78.94842803574915,34.93717484780395
003106,067,3152,-80.09987917777359,36.2311333096295
003106,119,4069,-80.8688836114914,35.14427982471231
003107,021,4030,-82.3447568032833,35.62829968573531
003107,067,4346,-80.09123447686726,36.149336217842304
003108,021,2467,-82.3583579742552,35.671468157944666
003108,067,3569,-80.05230919614073,36.1504059293362
003108,119,3228,-80.86989285628748,35.130525717866334
003109,119,4076,-80.87498429192574,35.12209943838719
003110,119,2141,-80.86755705761394,35.16850218964682
003111,119,3251,-80.85407878062725,35.16492018816651
003201,021,1773,-82.4840340340594,35.541417383638844
003201,067,4937,-80.0941578427159,36.12502279302751
003201,119,2430,-80.8709096418961,35.184820046062825
003202,021,4846,-82.46195237698599,35.49299496015351
003202,067,4244,-80.05435602357329,36.12330842534726
003203,021,6096,-82.43532286221654,35.53957871323797
003203,051,5654,-78.9798439405738,35.02608854710026
003203,119,2888,-80.86335007362533,35.17733342521712
003204,021,5925,-82.37230570512648,35.52168428326245
003204,119,3512,-80.85408824217403,35.18206699602354
003205,021,1705,-82.26821368933797,35.52563687627258
003205,051,5168,-79.01604342388748,35.0266263057649
003206,051,5873,-79.04631593146014,35.010105977895364
003207,051,7742,-79.00113245310379,34.99310470719548
003208,051,3726,-78.99121518258639,35.02885643030868
003209,051,4600,-78.99383737235212,35.01300821475799
003301,119,1808,-80.86245725396009,35.19899764792901
003302,051,5782,-78.99231545547624,35.04952501055623
003302,119,2581,-80.86056227106263,35.19343886953831
003304,051,7157,-78.98043009994228,35.09202806963233
003307,051,3885,-79.02263876414678,35.04921785722733
003307,067,3798,-80.10130798819642,36.10167402982748
003308,067,8301,-80.12878652118685,36.093078545724275
003309,067,5603,-80.17682614156769,36.090799412178704
003310,051,5085,-79.00611916868056,35.06747170048392
003310,067,4258,-80.1505059576866,36.07688241760555
003311,051,2862,-79.00425769357254,35.061289231061586
003311,067,1970,-80.12890580321464,36.06090324434953
003312,051,6505,-79.0574311036362,35.06529769433904
003312,067,4537,-80.0883943938414,36.05875415511231
003313,051,6951,-79.07604112344205,35.04624137250311
003313,067,1516,-80.06790502161937,36.02788868496055
003314,051,7345,-79.04967619703301,35.0460327051781
003314,067,2935,-80.05456841664754,36.066768505706754
