alpha,beta,gamma,pop_dif
20.5,0.9,0.9,0.28153404968975904
20.5,0.9,1,0.5010954840964384
20.5,0.9,1.1,0.6834715607127752
20.5,0.9,1.2000000000000002,0.4751543181213123
20.5,0.9,1.3,0.33989279293939345
20.5,0.9,1.4000000000000001,0.5239447105606845
20.5,0.9,1.5,0.7788172185966393
20.5,0.9,1.6,0.39346963297407517
20.5,0.9,1.7000000000000002,0.32359259354299474
20.5,0.9,1.8,0.5335248738055176
20.5,0.9,1.9000000000000001,0.3505105064299276
20.5,0.9,2,0.8020139649684721
20.5,0.9,2.1,0.5027157152005406
20.5,0.9,2.2,0.7021339062896187
20.5,0.9,2.3000000000000003,0.5558211929040487
20.5,0.9,2.4000000000000004,0.43374785530692256
20.5,0.9,2.5,0.4367997695047648
20.599999999999998,0.9,0,0.3383943203057706
20.599999999999998,0.9,0.1,0.7820652660019957
20.599999999999998,0.9,0.2,0.5840977417511708
20.599999999999998,0.9,0.30000000000000004,0.23972133317127847
20.599999999999998,0.9,0.4,0.7182485609388244
20.599999999999998,0.9,0.5,0.4641871625674865
20.599999999999998,0.9,0.6000000000000001,0.26479728485358733
20.599999999999998,0.9,0.7000000000000001,0.5582552851457647
20.599999999999998,0.9,0.8,0.8528028074696323
20.599999999999998,0.9,0.9,0.32824231903976453
20.599999999999998,0.9,1,0.655611388765431
20.599999999999998,0.9,1.1,0.7043955830564271
20.599999999999998,0.9,1.2000000000000002,0.26937097135075705
20.599999999999998,0.9,1.3,0.7661071887412926
20.599999999999998,0.9,1.4000000000000001,0.5392404597541932
20.599999999999998,0.9,1.5,0.7535748806085389
20.599999999999998,0.9,1.6,0.5489709598990821
20.599999999999998,0.9,1.7000000000000002,0.5243776242665957
20.599999999999998,0.9,1.8,0.34620255269714123
20.599999999999998,0.9,1.9000000000000001,0.3663386367998672
20.599999999999998,0.9,2,0.6055338233570241
20.599999999999998,0.9,2.1,0.5879344147984858
20.599999999999998,0.9,2.2,0.8132070984200112
20.599999999999998,0.9,2.3000000000000003,0.5843513875350191
20.599999999999998,0.9,2.4000000000000004,0.23745181214640615
20.599999999999998,0.9,2.5,0.4338762086170192
20.7,0.9,0,0.16396303699694356
20.7,0.9,0.1,0.49557032665980943
20.7,0.9,0.2,0.14533874327480156
20.7,0.9,0.30000000000000004,0.3237423900198944
20.7,0.9,0.4,0.43480508939215673
20.7,0.9,0.5,0.18735008466256356
20.7,0.9,0.6000000000000001,0.43801692892281535
20.7,0.9,0.7000000000000001,0.32432573552169275
20.7,0.9,0.8,0.13087875283260342
20.7,0.9,0.9,0.2985070155824565
20.7,0.9,1,0.8044111318808671
20.7,0.9,1.1,0.5093724976138582
20.7,0.9,1.2000000000000002,0.6985939067444812
20.7,0.9,1.3,0.2662430626464846
20.7,0.9,1.4000000000000001,0.20672480996892947
20.7,0.9,1.5,0.5428508890438877
20.7,0.9,1.6,0.8096945747226656
20.7,0.9,1.7000000000000002,0.5129050228445912
20.7,0.9,1.8,0.2996467131183463
20.7,0.9,1.9000000000000001,0.5105960157026275
20.7,0.9,2,0.8913839707573638
20.7,0.9,2.1,0.46785421982571856
20.7,0.9,2.2,0.27397202102778295
20.7,0.9,2.3000000000000003,0.8138140696797892
20.7,0.9,2.4000000000000004,0.6152203976369557
20.7,0.9,2.5,0.4431581613485478
20.799999999999997,0.9,0,0.3260846253317293
20.799999999999997,0.9,0.1,0.4702011156508274
20.799999999999997,0.9,0.2,6.246740362256042e-4
20.799999999999997,0.9,0.30000000000000004,0.646834294317455
20.799999999999997,0.9,0.4,0.8444029467945304
20.799999999999997,0.9,0.5,0.7914071995821985
20.799999999999997,0.9,0.6000000000000001,0.6201495987853707
20.799999999999997,0.9,0.7000000000000001,0.2744720097825862
20.799999999999997,0.9,0.8,0.4050370781146537
20.799999999999997,0.9,0.9,0.38718964010356616
20.799999999999997,0.9,1,0.4232441384768022
20.799999999999997,0.9,1.1,0.4037485663242169
20.799999999999997,0.9,1.2000000000000002,0.3362459467979704
20.799999999999997,0.9,1.3,0.31442559687205424
20.799999999999997,0.9,1.4000000000000001,0.37262587022981736
20.799999999999997,0.9,1.5,0.5815597712441913
20.799999999999997,0.9,1.6,0.5046663130238854
20.799999999999997,0.9,1.7000000000000002,0.5667948559249131
20.799999999999997,0.9,1.8,0.2664327948563732
20.799999999999997,0.9,1.9000000000000001,0.8251280044985497
20.799999999999997,0.9,2,0.30241980023915555
20.799999999999997,0.9,2.1,0.64480394470875
20.799999999999997,0.9,2.2,0.5222213722940412
20.799999999999997,0.9,2.3000000000000003,0.32394045591278287
20.799999999999997,0.9,2.4000000000000004,0.3775847150022456
20.799999999999997,0.9,2.5,0.23370318357277933
20.9,0.9,0,0.6374095522130286
20.9,0.9,0.1,0.74502913982381
20.9,0.9,0.2,0.6698123849354575
20.9,0.9,0.30000000000000004,0.22922103467463073
20.9,0.9,0.4,0.26430156452220344
20.9,0.9,0.5,0.33854093744652386
20.9,0.9,0.6000000000000001,0.3662604661837157
20.9,0.9,0.7000000000000001,0.1601714060314842
20.9,0.9,0.8,0.18931249730580596
20.9,0.9,0.9,0.7570662688824117
20.9,0.9,1,0.31132813737237025
20.9,0.9,1.1,0.22902109200000365
20.9,0.9,1.2000000000000002,0.10911369721829473
20.9,0.9,1.3,0.7205834910823937
20.9,0.9,1.4000000000000001,0.24354895380722796
20.9,0.9,1.5,0.4676424748223384
20.9,0.9,1.6,0.3692909163665466
20.9,0.9,1.7000000000000002,0.31620672344429074
20.9,0.9,1.8,0.6285638762890373
20.9,0.9,1.9000000000000001,0.6157768670820936
20.9,0.9,2,0.6489094072135941
20.9,0.9,2.1,0.5421808082315913
20.9,0.9,2.2,0.7428244174299686
20.9,0.9,2.3000000000000003,0.5072245483445763
20.9,0.9,2.4000000000000004,0.47275879811516136
20.9,0.9,2.5,0.23178629200151812
21,0.9,0,0.28031047752611077
21,0.9,0.1,0.19882326813017853
21,0.9,0.2,0.3301208463672313
21,0.9,0.30000000000000004,0.4627563683170007
21,0.9,0.4,0.2839477427294336
21,0.9,0.5,0.769654602508124
21,0.9,0.6000000000000001,0.020731248104258606
21,0.9,0.7000000000000001,0.32024188974963175
21,0.9,0.8,0.2929475122769336
21,0.9,0.9,0.24422035468290298
21,0.9,1,0.3647024665753085
21,0.9,1.1,0.28181611059581413
21,0.9,1.2000000000000002,0.30149299245880085
21,0.9,1.3,0.5052831089607726
21,0.9,1.4000000000000001,0.25672405911292945
21,0.9,1.5,0.70671532798658665
21,0.9,1.6,0.31438118902774886
21,0.9,1.7000000000000002,0.4570545724824041
21,0.9,1.8,0.5940758480620122
21,0.9,1.9000000000000001,0.638423919305803
21,0.9,2,0.5243566074473129
21,0.9,2.1,0.5626875326891844
21,0.9,2.2,0.607051559545237
21,0.9,2.3000000000000003,0.5005001807536567
21,0.9,2.4000000000000004,0.6342987125883899
21,0.9,2.5,0.4927532411038537
21.099999999999998,0.9,0,0.26643728440413944
