district,county,population,lat,long
3,37,5835,35.71226,-79.464917
3,37,4610,35.7507675,-79.4653093
3,37,3605,35.5912562,-79.4799628
3,37,5199,35.6050546,-79.2879255
3,37,4361,35.6676277,-79.0132905
3,37,4549,35.8269453,-78.9471728
3,37,2782,35.8445461,-78.9899416
3,37,4513,35.7085378,-79.2112
3,37,2775,35.7436799,-79.1402487
3,37,2378,35.7101189,-79.0996646
3,85,3870,35.2786325,-78.618099
3,85,2937,35.3382477,-78.5643994
3,85,4680,35.3475981,-78.6034405
3,85,4133,35.3841878,-78.6942919
3,85,6658,35.4045082,-78.6334382
3,85,6054,35.3023108,-78.6630526
3,85,4497,35.2977993,-78.7851793
3,85,5514,35.3648785,-78.7800945
3,85,2726,35.4391033,-78.7694899
3,85,5289,35.4052543,-78.7508208
3,85,2844,35.5126734,-78.7219318
3,85,2816,35.4885095,-78.69462
3,85,2293,35.4785389,-78.7500793
3,85,3937,35.4942599,-78.7730372
3,85,3593,35.5143505,-78.9005571
3,85,4034,35.4955449,-78.8361484
3,85,1915,35.5144522,-78.800549
3,85,3366,35.4586669,-78.9456639
3,85,5014,35.3947366,-78.9460203
3,85,3164,35.2809614,-78.8761742
3,85,4551,35.2432524,-78.9493467
3,85,2692,35.2317358,-78.9722256
3,85,7201,35.2967721,-78.9390058
3,85,4293,35.3618359,-79.0452464
3,85,7127,35.3033559,-79.0601902
3,85,12164,35.2816455,-79.018001
3,85,4422,35.2997042,-79.1317615
3,85,11784,35.2299302,-79.1255869
3,105,4812,35.4807747,-79.1922527
3,105,5803,35.4836311,-79.2107776
3,105,3265,35.4870795,-79.1714991
3,105,2967,35.4691018,-79.174001
3,105,3777,35.4831283,-79.1331218
3,105,7165,35.4446386,-79.1674901
3,105,2151,35.4156838,-79.1826785
3,105,6547,35.3635785,-79.1721592
3,105,3211,35.3732353,-79.2229982
3,105,1385,35.4177001,-79.1284479
3,105,3720,35.4199699,-79.1004104
3,105,3506,35.5199029,-79.2439167
3,105,5525,35.4508397,-79.2930967
3,105,4368,35.4940347,-79.0534716
3,105,1922,35.5863886,-79.1438828
3,105,3161,35.5569172,-79.1106252
3,125,2594,35.4679562,-79.470587
3,125,2369,35.4218782,-79.5768075
3,125,4154,35.4529715,-79.6860495
3,125,2269,35.2509251,-79.5905289
3,125,2853,35.3162841,-79.6281541
3,125,3992,35.2595421,-79.5428316
3,125,1920,35.1813836,-79.5802568
3,125,3917,35.3703543,-79.3634028
3,125,2345,35.3429839,-79.4417892
3,125,2368,35.3082717,-79.4927248
3,125,3098,35.3184967,-79.2705142
3,125,3548,35.2319483,-79.2063611
3,125,890,35.1922077,-79.1147603
3,125,6644,35.2481734,-79.3719151
3,125,4252,35.2547618,-79.3013767
3,125,3805,35.1954704,-79.5063846
3,125,4399,35.2327729,-79.4656342
3,125,3477,35.2285543,-79.4208185
3,125,2728,35.1697257,-79.4554075
3,125,2667,35.1711306,-79.490666
3,125,2528,35.1818402,-79.4796938
3,125,6049,35.1878503,-79.4220921
3,125,4319,35.2184431,-79.3715024
3,125,2430,35.1759668,-79.3936803
3,125,4246,35.1844808,-79.3394547
3,125,1178,35.1241655,-79.3784731
3,125,3696,35.1173051,-79.4315318
3,125,6190,35.1434239,-79.4076715
3,125,4802,35.1033264,-79.5034713
3,183,2906,35.5648205,-78.6648754
3,183,3286,35.602268,-78.6713405
3,183,5131,35.6226845,-78.6523913
3,183,2938,35.7348869,-78.7679969
3,183,4880,35.7134961,-78.7730897
3,183,3126,35.6932144,-78.7438873
3,183,3545,35.7133613,-78.7294404
3,183,5462,35.6081409,-78.7883312
3,183,3999,35.5861945,-78.8216419
3,183,10138,35.5937566,-78.7388501
3,183,6424,35.6192532,-78.7080411
3,183,6905,35.6535912,-78.7257107
3,183,6549,35.5648198,-78.7890886
3,183,5592,35.5689206,-78.8254299
3,183,7140,35.5694713,-78.7606492
3,183,2747,35.5418073,-78.7159892
3,183,4367,35.6480941,-78.7993293
3,183,10600,35.6666267,-78.8171344
3,183,4982,35.647668,-78.8323251
3,183,6082,35.6275663,-78.806737
3,183,5759,35.6148819,-78.8328307
3,183,12130,35.6486269,-78.8916077
3,183,3023,35.6027831,-78.9313013
3,183,5363,35.6788182,-78.7685957
3,183,8124,35.6470704,-78.7649529
3,183,5376,35.7223575,-78.7974898
3,183,4278,35.7806752,-78.8585922
3,183,6807,35.7666779,-78.8611014
3,183,6673,35.8090746,-78.914831
3,183,14610,35.7978112,-78.8970079
3,183,4917,35.7463889,-78.8830086
3,183,4634,35.7074219,-78.868582
3,183,3010,35.7342995,-78.8164556
3,183,5922,35.6893534,-78.7940717
3,183,2449,35.7776929,-78.8307704
3,183,2172,35.769796,-78.8103968
3,183,4728,35.7679562,-78.837467
3,183,3140,35.78691,-78.8433042
3,183,7522,35.7613248,-78.9105449
3,183,5698,35.7367655,-78.923884
3,183,13307,35.6971512,-78.9346424
3,183,3185,35.742995,-78.848942
3,183,4201,35.7525821,-78.85737
3,183,5562,35.7006001,-78.8209524
3,183,3173,35.6847767,-78.8531823
3,183,4434,35.725524,-78.881843
3,183,4931,35.7286286,-78.8671636
3,183,3741,35.7456823,-78.8308572
3,183,3255,35.7309289,-78.8430635
3,183,5201,35.7501257,-78.8043542
3,183,3528,35.7634579,-78.8071658
3,183,3954,35.7653692,-78.790295
3,183,5779,35.7954503,-78.819312
3,183,3778,35.7865359,-78.8009413
3,183,2898,35.7785201,-78.8177286
3,183,4457,35.8037837,-78.8618008
3,183,4336,35.8015105,-78.8538326
3,183,7746,35.8545012,-78.8543914
3,183,6852,35.8257558,-78.8412868
3,183,3664,35.8332439,-78.8340966
3,183,5488,35.8044988,-78.8396244
3,183,10385,35.8318372,-78.8971478
3,183,4931,35.8548498,-78.9015239
3,183,501,35.8552147,-78.88092
3,183,6758,35.8347648,-78.8664115
4,13,2889,35.6115021,-76.7137284
4,13,1756,35.544452,-76.5560395
4,13,5898,35.6298026,-77.0193014
4,13,3892,35.5552788,-77.0650549
4,13,5128,35.5657805,-77.0433855
4,13,4440,35.5089705,-76.994309
4,13,3422,35.5499701,-76.967802
4,13,3259,35.5119533,-76.8742247
4,13,2663,35.4437315,-76.6855762
4,13,2016,35.3049988,-76.7560671
4,13,3875,35.3892318,-76.9668799
4,13,2599,35.4529722,-77.1378598
4,13,2815,35.4977535,-77.0822702
4,15,4749,36.1259234,-76.8298463
4,15,3232,36.1462992,-77.0430465
4,15,2788,36.0718625,-77.1618779
4,15,3002,36.0366771,-76.9123754
4,15,4163,35.9310996,-76.8232424
4,29,5754,36.4585546,-76.3175111
4,29,4601,36.2430573,-75.9895585
4,31,863,34.8896386,-76.3524929
4,31,2293,34.9342725,-76.4740805
4,31,2689,34.746682,-76.5410438
4,31,1127,34.7058365,-76.5344259
4,31,4689,34.8294281,-76.655385
4,31,2247,34.7149191,-76.6260904
4,31,1682,34.7206525,-76.668795
4,31,1834,34.7292352,-76.7555858
4,31,1412,34.7239933,-76.7087383
4,31,1079,34.719317,-76.7147695
4,31,2619,34.7487586,-76.8065393
4,31,2083,34.7517653,-76.7387561
4,31,2074,34.7349302,-76.7495272
4,31,2053,34.750188,-76.7110611
4,31,1139,34.7234135,-76.9183102
4,31,1159,34.7298329,-76.8784489
4,31,1568,34.7402425,-76.8587875
4,31,3471,34.7305875,-76.8143349
4,31,1127,34.7480559,-76.91659
4,31,3708,34.7975248,-76.9048924
4,31,5068,34.7901045,-76.863669
4,31,2244,34.8154007,-76.780685
4,31,3005,34.7674184,-77.1097582
4,31,3979,34.7261934,-77.0116721
4,31,1698,34.7817392,-77.0184797
4,31,3752,34.6851343,-77.0891914
4,31,1092,34.7011054,-76.9739116
4,31,2757,34.6619405,-77.0692195
4,31,1777,34.6972082,-76.8319128
4,31,1398,34.7037851,-76.7332127
4,41,4905,36.0477077,-76.6502487
4,41,2195,36.0504378,-76.5032702
4,41,4347,36.2298053,-76.6631703
4,41,2261,36.1279996,-76.6341756
4,49,3787,35.0963314,-76.9793914
4,49,4526,35.2022336,-77.0054376
4,49,3642,35.2809736,-77.2045861
4,49,4589,35.3219878,-77.1135068
4,49,3200,35.1894497,-77.2101881
4,49,3088,35.238173,-77.3624857
4,49,4910,35.1136036,-77.1527876
4,49,3636,35.0894163,-77.0954951
4,49,4074,35.0820082,-77.0919627
4,49,2944,35.0711096,-77.1618042
4,49,4149,35.1466911,-77.1426598
4,49,4042,35.1518375,-77.1044713
4,49,5335,35.1154121,-77.0769298
4,49,1840,35.1050314,-77.0672539
4,49,2659,35.1199892,-77.0479511
4,49,1669,35.1088154,-77.0386751
4,49,3902,35.0453686,-76.9980974
4,49,6694,35.0347812,-77.0236315
4,49,5522,34.9961832,-77.0520316
